BatLevel,Timestamp
15,2022-04-11 11:30:01.661972
85,2022-04-11 11:31:16.547526
15,2022-04-11 11:43:58.979143
16,2022-04-11 11:43:58.979143
15,2022-04-11 11:44:46.832031
16,2022-04-11 11:44:46.832031
15,2022-04-11 11:48:39.406638
16,2022-04-11 11:48:39.406638
100,2022-04-11 12:04:33.953945
99,2022-04-11 12:08:50.650697
98,2022-04-11 12:13:21.757765
97,2022-04-11 12:36:39.752765
97,2022-04-11 12:39:02.799132
96,2022-04-11 12:56:55.098941
95,2022-04-11 13:04:26.648360
94,2022-04-11 13:29:39.992682
93,2022-04-11 13:51:39.354245
92,2022-04-11 14:32:09.503083
91,2022-04-11 14:37:10.242862
90,2022-04-11 14:42:41.567320
89,2022-04-11 14:48:12.735458
90,2022-04-11 15:14:29.088581
91,2022-04-11 15:17:00.287094
92,2022-04-11 15:19:10.980863
93,2022-04-11 15:21:32.312834
94,2022-04-11 15:23:43.135527
95,2022-04-11 15:26:11.790434
96,2022-04-11 15:28:42.185694
97,2022-04-11 15:31:34.294081
98,2022-04-11 15:32:04.468960
99,2022-04-11 15:33:34.653353
100,2022-04-11 15:34:15.342381
